cluster_id,cluster_size,term,count_in_cluster,count_in_background,pvalue,pvalue_adjusted,odds_ratio
0,1330,KW:Knottin,1119,1369,0.0,0.0,26.776979996189752
0,1330,GO:GO:0008200||F:ion channel inhibitor activity,563,997,9.353519920301e-201,8.79230872508294e-199,7.481202040505394
0,1330,LINEAGE:Lycosoidea > Lycosidae > Lycosa,194,228,6.049499591319801e-122,3.791019743893742e-120,32.31462402619397
0,1330,LINEAGE:Avicularoidea > Theraphosidae > Cyriopagopus,221,340,1.7844791526533955e-96,8.387052017470959e-95,10.525297172037934
0,1330,KW:Ion channel impairing toxin,839,2896,3.763538208686166e-82,1.4150903664659984e-80,2.351436757229589
0,1330,KW:Voltage-gated calcium channel impairing toxin,175,260,2.2628066819290757e-80,7.090127603377771e-79,11.64035214469228
0,1330,GO:GO:0044231||C:host cell presynaptic membrane,134,171,1.0952073564242603e-75,2.9414140429680134e-74,20.43644804259196
0,1330,KW:Calcium channel impairing toxin,198,364,1.6918051852989666e-67,3.9757421854525717e-66,6.747300215982722
0,1330,GO:GO:0017080||F:sodium channel regulator activity,213,419,1.4910140130464956e-65,3.114562605030457e-64,5.851834620893987
0,1330,LINEAGE:Avicularoidea > Theraphosidae > Chilobrachys,89,105,2.2219575167952066e-56,4.177280131574988e-55,31.31140102521309
0,1330,GO:GO:0005246||F:calcium channel regulator activity,151,314,4.1971093334352886e-43,7.173241406234857e-42,5.225805042676851
0,1330,KW:Signal,1064,4864,2.5578825183697817e-37,4.0073492787793246e-36,1.606323250221491
0,1330,GO:GO:0019855||F:calcium channel inhibitor activity,49,52,8.939974155784957e-37,1.29285780099044e-35,91.73453449882064
0,1330,LINEAGE:Entelegynae > Agelenidae > Agelena,43,45,3.9437054444515045e-33,5.295833025406306e-32,120.71081257801819
0,1330,KW:Presynaptic neurotoxin,134,318,5.345916545510447e-31,6.700215403706427e-30,4.10310495899552
0,1330,LINEAGE:Avicularoidea > Barychelidae > Trittame,42,47,2.5032750532607515e-29,2.941348187581383e-28,47.15713266761769
0,1330,KW:Voltage-gated sodium channel impairing toxin,264,908,7.348091887897133e-27,8.126125146615653e-26,2.316363889406425
0,1330,LINEAGE:Avicularoidea > Hexathelidae > Hadronyche,49,67,3.426858485393542e-26,3.5791633069665886e-25,15.286660984585703
0,1330,NAME:U11-theraphotoxin-Hhn1a,29,29,1.6743715967446644e-24,1.656746632568405e-23,inf
0,1330,KW:Disulfide bond,1324,6889,2.4338534554461026e-21,2.2878222481193364e-20,1.3607048483412711
0,1330,KW:Neurotoxin,684,3276,3.8383252136096694e-19,3.4362149531362757e-18,1.4980448097337233
